X	Y	Z
441	508	16448
443	510	16453
425	513	16469
429	506	16475
447	492	16487
442	495	16496
436	500	16493
440	493	16498
447	496	16494
440	514	16476
430	509	16460
436	494	16454
443	507	16474
433	512	16488
422	515	16484
434	517	16486
446	473	16527
450	490	16564
457	538	16500
413	499	16409
387	504	16372
416	525	16412
419	491	16495
438	489	16532
438	496	16546
438	498	16555
457	501	16508
441	506	16449
428	525	16432
432	510	16451
434	500	16481
437	518	16505
434	519	16519
432	512	16505
434	509	16481
441	498	16472
448	477	16477
430	495	16482
412	511	16494
427	486	16498
438	489	16490
436	510	16472
447	517	16445
452	513	16451
441	507	16467
427	505	16474
419	495	16480
422	496	16484
438	504	16514
451	500	16528
447	486	16513
458	477	16506
468	481	16478
441	490	16468
433	492	16469
444	510	16412
448	505	16413
435	474	16498
456	503	16531
471	507	16566
444	488	16544
433	509	16455
413	510	16417
424	509	16402
439	514	16409
423	508	16433
439	506	16472
454	499	16509
463	497	16513
468	493	16482
452	498	16472
453	497	16477
459	497	16483
438	509	16488
413	500	16482
435	513	16477
463	522	16469
450	509	16470
436	492	16462
444	488	16439
445	490	16422
441	488	16441
437	498	16494
438	510	16543
439	523	16534
428	514	16506
437	502	16478
444	497	16433
435	493	16417
427	495	16444
428	496	16489
446	492	16509
459	499	16504
440	517	16481
426	513	16475
440	498	16472
435	503	16470
431	502	16478
441	478	16485
432	483	16486
429	506	16482
430	515	16486
448	525	16487
455	516	16489
431	504	16480
422	478	16498
427	455	16511
426	465	16477
428	480	16445
433	505	16465
435	523	16487
461	516	16492
467	506	16499
451	501	16489
448	494	16484
434	478	16491
432	472	16492
436	486	16467
429	491	16451
426	498	16472
422	514	16489
426	518	16484
431	509	16484
433	492	16489
431	491	16497
433	499	16500
424	490	16489
425	494	16476
436	507	16488
457	512	16507
466	502	16490
447	521	16478
444	526	16486
428	499	16471
432	489	16451
459	488	16467
467	491	16502
438	496	16514
438	505	16500
450	515	16485
453	506	16468
455	497	16476
440	502	16484
435	490	16466
441	474	16469
452	475	16487
445	488	16496
443	485	16498
438	495	16493
433	502	16472
437	498	16456
441	494	16445
441	490	16436
445	493	16451
444	488	16466
443	485	16505
439	492	16521
443	495	16493
450	489	16480
452	510	16472
446	518	16470
439	495	16475
441	497	16495
436	490	16521
428	493	16520
427	497	16471
427	475	16429
417	481	16445
431	487	16458
457	489	16457
450	505	16478
435	504	16497
443	500	16483
454	505	16461
458	493	16438
442	489	16445
421	502	16473
429	498	16473
444	502	16486
442	503	16492
445	496	16483
450	503	16485
443	512	16470
442	512	16457
445	507	16478
446	497	16490
452	484	16465
452	471	16457
447	467	16468
446	479	16473
439	495	16490
431	505	16515
431	517	16498
448	519	16459
458	510	16440
453	488	16426
433	487	16428
424	500	16429
432	499	16471
430	505	16530
429	508	16532
438	510	16503
456	508	16479
454	496	16474
454	486	16471
455	482	16452
446	489	16462
444	505	16467
434	514	16454
428	512	16479
449	514	16497
457	526	16495
440	515	16506
430	503	16490
443	496	16467
448	485	16454
429	493	16450
413	500	16463
433	503	16475
444	495	16494
439	496	16496
441	510	16478
433	506	16467
421	492	16478
422	487	16473
441	490	16457
445	489	16463
442	494	16486
434	504	16507
439	509	16498
433	502	16482
428	486	16481
442	488	16483
449	491	16468
450	486	16465
453	486	16487
459	490	16489
457	508	16472
454	508	16467
448	504	16479
440	511	16497
442	510	16496
446	500	16486
439	495	16475
435	496	16474
430	494	16490
423	501	16498
424	495	16495
443	487	16475
458	502	16461
453	509	16468
439	508	16488
431	506	16494
435	505	16485
442	512	16482
443	517	16485
447	505	16495
448	485	16485
444	486	16466
444	500	16477
443	505	16483
435	500	16493
431	496	16486
433	503	16466
437	515	16469
438	511	16468
433	499	16469
432	498	16496
436	502	16516
442	499	16506
455	498	16489
